Input phrase,Similarity scores
People didn't clean the lathe after they finished using it,"[0.7823664546012878, 0.693060040473938, 0.7033750414848328, 0.6675390005111694, 0.73711097240448, 0.8358256220817566, 0.7506136298179626, 0.7241515517234802, 0.6474454402923584, 0.6681574583053589, 0.6756910681724548]"
Miter saw slightly too tall,"[0.7087075114250183, 0.6868219971656799, 0.6641949415206909, 0.8699740767478943, 0.6766911745071411, 0.714947521686554, 0.7141416072845459, 0.6717630624771118, 0.6879106760025024, 0.6350785493850708, 0.6283817887306213]"
Scrap bin had many pieces of unusable wood,"[0.6774770021438599, 0.6677666306495667, 0.7116755247116089, 0.6952859163284302, 0.7307543754577637, 0.7653359770774841, 0.6734040975570679, 0.8506719470024109, 0.6811634302139282, 0.767270565032959, 0.6572962403297424]"
Trash was full,"[0.6666593551635742, 0.6425488591194153, 0.6797317266464233, 0.6233240365982056, 0.7273885011672974, 0.7135915160179138, 0.672016978263855, 0.7646410465240479, 0.6717835068702698, 0.8135333061218262, 0.6424538493156433]"
Gloves didn't fit right for epoxy,"[0.711114764213562, 0.7106522917747498, 0.8738623261451721, 0.6670013070106506, 0.6717754602432251, 0.6813077330589294, 0.6937191486358643, 0.6951921582221985, 0.6355485320091248, 0.6628327965736389, 0.7604144215583801]"
Lathe was messy,"[0.8259844779968262, 0.6827071905136108, 0.6709614396095276, 0.7028543949127197, 0.6770875453948975, 0.8725615739822388, 0.7948192954063416, 0.6900920271873474, 0.6842486262321472, 0.6640434265136719, 0.6414049863815308]"
People forgot to return clamps after use,"[0.7314719557762146, 0.6541867256164551, 0.6922107338905334, 0.6868221759796143, 0.8860436677932739, 0.6835331916809082, 0.7178246378898621, 0.727919340133667, 0.6648284792900085, 0.7132986187934875, 0.6733757853507996]"
The miter saw was a bit high for the user,"[0.747919499874115, 0.6999337077140808, 0.6876266002655029, 0.8689831495285034, 0.7392825484275818, 0.7939072847366333, 0.7955935597419739, 0.6901114583015442, 0.7449303269386292, 0.6992979645729065, 0.6781367063522339]"
The gloves were too big for the user when using epoxy,"[0.7481828927993774, 0.7342962026596069, 0.9116484522819519, 0.698121964931488, 0.6949434280395508, 0.6980865001678467, 0.7196458578109741, 0.7162246108055115, 0.6539785265922546, 0.6826169490814209, 0.7762354612350464]"
The wood scraps box was filled with unusable pieces they threw out,"[0.6683437824249268, 0.6504618525505066, 0.6945440173149109, 0.6639715433120728, 0.7100543975830078, 0.7604672908782959, 0.6697340607643127, 0.8527123332023621, 0.6745777726173401, 0.7613192796707153, 0.6586483120918274]"
The trash bag ripped when taking it out,"[0.6703975200653076, 0.6011264324188232, 0.6612061262130737, 0.6629666686058044, 0.7335229516029358, 0.7026320695877075, 0.6752007007598877, 0.7789662480354309, 0.661699652671814, 0.9036542177200317, 0.6382970809936523]"
"The next day, someone didn't clean the sawdust off the machines","[0.6927630305290222, 0.6834979057312012, 0.6945586204528809, 0.6869149804115295, 0.7266754508018494, 0.8035798072814941, 0.6825827360153198, 0.7592105865478516, 0.6823323965072632, 0.7308556437492371, 0.7198519110679626]"
dirty work area,"[0.6726464629173279, 0.6752533912658691, 0.666612982749939, 0.7008804082870483, 0.6889334917068481, 0.7518112659454346, 0.7005851864814758, 0.6952488422393799, 0.7129005193710327, 0.6852186918258667, 0.6470173001289368]"
unorganized tools,"[0.711023211479187, 0.7403475642204285, 0.6923386454582214, 0.6972039937973022, 0.7130705118179321, 0.7385381460189819, 0.7003136277198792, 0.7236296534538269, 0.771918535232544, 0.6750830411911011, 0.6008809208869934]"
too tight of a chuck on the lath,"[0.8864014148712158, 0.7099356055259705, 0.684706449508667, 0.6770856976509094, 0.7025776505470276, 0.7120047807693481, 0.7722140550613403, 0.6653071641921997, 0.681307852268219, 0.6406930088996887, 0.6444961428642273]"
too high of a miter saw table,"[0.6885192394256592, 0.6512355208396912, 0.6301637291908264, 0.8850623965263367, 0.6694002747535706, 0.699981153011322, 0.6993886828422546, 0.6861458420753479, 0.6402528285980225, 0.6031022667884827, 0.6111701130867004]"
incorrect materials in the scrap bin,"[0.6229636669158936, 0.6325507164001465, 0.665439248085022, 0.6450221538543701, 0.6964022517204285, 0.6852620840072632, 0.6248258352279663, 0.7694657444953918, 0.6532918214797974, 0.7642154693603516, 0.6289370656013489]"
ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
Uncomfortable table height,"[0.6431205868721008, 0.6194900274276733, 0.654008686542511, 0.8373630046844482, 0.6270896196365356, 0.633978009223938, 0.6748479008674622, 0.6393094658851624, 0.6173974275588989, 0.6134227514266968, 0.600215494632721]"
Oversized Gloves,"[0.6612027287483215, 0.6858542561531067, 0.7905424237251282, 0.6708884835243225, 0.639686107635498, 0.6278457045555115, 0.6728646159172058, 0.6524850726127625, 0.6371304988861084, 0.6458643078804016, 0.6285966634750366]"
Misplaced clamps,"[0.7251242995262146, 0.6517075896263123, 0.6376298069953918, 0.6795666813850403, 0.8610017895698547, 0.6562700867652893, 0.695958137512207, 0.687868595123291, 0.6895915269851685, 0.6912537813186646, 0.6263228058815002]"
Gloves were too big,"[0.7429189085960388, 0.7700976133346558, 0.8268114924430847, 0.7053760886192322, 0.701578676700592, 0.6752405762672424, 0.6939212679862976, 0.7264213562011719, 0.6669098734855652, 0.6748215556144714, 0.6609380841255188]"
Scrap bin was full,"[0.6988297700881958, 0.6804068684577942, 0.696858823299408, 0.6682703495025635, 0.7527725100517273, 0.7442658543586731, 0.7024655938148499, 0.7712686657905579, 0.6918769478797913, 0.7851845622062683, 0.662473201751709]"
Work space was dirty,"[0.6757206320762634, 0.6741048693656921, 0.6842978596687317, 0.6739115118980408, 0.7032575607299805, 0.7590060234069824, 0.6798707246780396, 0.7262259721755981, 0.7154713869094849, 0.7199895977973938, 0.6799447536468506]"
Had to find a different clamp size,"[0.7760165333747864, 0.7145485281944275, 0.7138826251029968, 0.7126866579055786, 0.8137437701225281, 0.6576615571975708, 0.7030171751976013, 0.7033921480178833, 0.7387055158615112, 0.6948760747909546, 0.6417235732078552]"
Table was too tall,"[0.7155638337135315, 0.6740929484367371, 0.689547598361969, 0.8231202363967896, 0.71100252866745, 0.6867573857307434, 0.6973435878753662, 0.7290706634521484, 0.6407452821731567, 0.6745109558105469, 0.6551852822303772]"
Somebody bumped into him,"[0.6853108406066895, 0.6291919946670532, 0.650577962398529, 0.6863898634910583, 0.7567169070243835, 0.7050079703330994, 0.7833749055862427, 0.6747725009918213, 0.705476701259613, 0.740281879901886, 0.6723065972328186]"
He had to clean the scrap bin,"[0.6800368428230286, 0.6290781497955322, 0.6765236258506775, 0.6530780792236328, 0.763833224773407, 0.7700225114822388, 0.667140007019043, 0.7710568308830261, 0.697422981262207, 0.7946193218231201, 0.6883718967437744]"
He had to clean the lathe he used,"[0.8203813433647156, 0.6827083230018616, 0.6872280836105347, 0.6835586428642273, 0.7267187237739563, 0.8943392038345337, 0.7784813642501831, 0.6877028346061707, 0.7018195986747742, 0.6823335289955139, 0.6850077509880066]"
He had to adjust the chuck on the lathe he used,"[0.8615965247154236, 0.6845749020576477, 0.6706475019454956, 0.685485303401947, 0.710371196269989, 0.7763581275939941, 0.7919937968254089, 0.6391578912734985, 0.7155774831771851, 0.6525837779045105, 0.6581776142120361]"
He had to empty the garbage bin,"[0.681218147277832, 0.6230615973472595, 0.6791085600852966, 0.6428906917572021, 0.7626394033432007, 0.7207457423210144, 0.6589967608451843, 0.7583573460578918, 0.6870299577713013, 0.8133254051208496, 0.6940865516662598]"
He had to replace the garbage bag on the garbage bin,"[0.6822197437286377, 0.6080536246299744, 0.6892639398574829, 0.6507259607315063, 0.7494637966156006, 0.7292051911354065, 0.6832280158996582, 0.7361719012260437, 0.6849235892295837, 0.8991302251815796, 0.6812679767608643]"
He had to wear oversized gloves in the wood shop,"[0.7258782386779785, 0.6983826756477356, 0.7899444103240967, 0.7337507009506226, 0.6939642429351807, 0.7301623225212097, 0.7190232872962952, 0.7332746982574463, 0.6978356242179871, 0.6690756678581238, 0.6844404935836792]"
Had to clean out the scrap bin because many pieces too small to use,"[0.7224560976028442, 0.7164806723594666, 0.7376651167869568, 0.6929840445518494, 0.759778618812561, 0.7286781668663025, 0.671895444393158, 0.8534104824066162, 0.7241584062576294, 0.7468178868293762, 0.6743079423904419]"
Miter saw was a bit too tall to use but still had to use it,"[0.7348926067352295, 0.7276861071586609, 0.7156493067741394, 0.8751840591430664, 0.7335192561149597, 0.7329580187797546, 0.729009211063385, 0.7409946918487549, 0.6984727382659912, 0.6685119867324829, 0.6632459759712219]"
Gloves were too big so fumbled with applying the epoxy.,"[0.7363971471786499, 0.7344791293144226, 0.8918535709381104, 0.6841630339622498, 0.6995604038238525, 0.684241771697998, 0.706684410572052, 0.7224224209785461, 0.6558457016944885, 0.6923487186431885, 0.7507076263427734]"
Had to use chuck to loosen drill bit because previous user overtightened it.,"[0.8798511028289795, 0.7176803946495056, 0.6975381970405579, 0.6529762148857117, 0.7636897563934326, 0.7319363355636597, 0.7731600999832153, 0.6471734046936035, 0.7566616535186768, 0.717542827129364, 0.6849916577339172]"
Had to clean off lathe before using because previous user left saw dust all over.,"[0.7814929485321045, 0.6753690242767334, 0.6939459443092346, 0.712634265422821, 0.7610155344009399, 0.8902463912963867, 0.7804948091506958, 0.7157766819000244, 0.6834287047386169, 0.7218428254127502, 0.6860153079032898]"
Got bumped while using lathe and hit the emergency stop button.,"[0.7905905842781067, 0.6815115213394165, 0.691001296043396, 0.7261121869087219, 0.7355599999427795, 0.7830743789672852, 0.9309931993484497, 0.677436888217926, 0.6910591721534729, 0.7125670909881592, 0.6688699126243591]"
Had to wait overnight for epoxy to cure.,"[0.6620688438415527, 0.6211872100830078, 0.7814033627510071, 0.6304702162742615, 0.6796047687530518, 0.6802091598510742, 0.6806058883666992, 0.6372513175010681, 0.6180314421653748, 0.6349403262138367, 0.8746439814567566]"
saw covered in sawdust,"[0.6829911470413208, 0.6508599519729614, 0.6581568121910095, 0.7483596205711365, 0.6788697242736816, 0.8589465618133545, 0.7079823017120361, 0.6843377947807312, 0.6870961785316467, 0.7151676416397095, 0.6431469917297363]"
unusable scraps in the scrap bin,"[0.6204056143760681, 0.6269959211349487, 0.6870406270027161, 0.6739878058433533, 0.7116537094116211, 0.7016523480415344, 0.6209120750427246, 0.8120394945144653, 0.6477306485176086, 0.7613911628723145, 0.6329596042633057]"
miter saw was too tall to reach,"[0.7260851860046387, 0.7059757709503174, 0.696169912815094, 0.8502132296562195, 0.7146438360214233, 0.7131750583648682, 0.7287483811378479, 0.7204880714416504, 0.6734201312065125, 0.6636029481887817, 0.6482389569282532]"
time to dry,"[0.6610785126686096, 0.6199619174003601, 0.6490310430526733, 0.6552279591560364, 0.6996764540672302, 0.7032949328422546, 0.676253080368042, 0.6624587178230286, 0.6561135649681091, 0.6572415828704834, 0.7376574277877808]"
Sand on his project,"[0.6862543225288391, 0.625298798084259, 0.6595000624656677, 0.6756049990653992, 0.6895309090614319, 0.7652140259742737, 0.680347204208374, 0.6626526713371277, 0.6848517656326294, 0.6910203695297241, 0.6662161946296692]"
Missing clamp,"[0.7323483824729919, 0.6637021899223328, 0.6496210694313049, 0.682144045829773, 0.8532205820083618, 0.6706509590148926, 0.7066009044647217, 0.6612381935119629, 0.7073622345924377, 0.6918576955795288, 0.6387006640434265]"
Miter saw higher than intended,"[0.6915995478630066, 0.6536862254142761, 0.6308351755142212, 0.8191914558410645, 0.6670660376548767, 0.7300819158554077, 0.7247311472892761, 0.6387537717819214, 0.6614465713500977, 0.64093017578125, 0.6265195608139038]"
Pressing emergency stop on sandbelt,"[0.6735149025917053, 0.6575800776481628, 0.643036961555481, 0.6676611304283142, 0.6969640254974365, 0.6603588461875916, 0.8019099235534668, 0.6123876571655273, 0.6546126008033752, 0.6881334781646729, 0.6452223062515259]"
Wrong electric drill,"[0.7038998603820801, 0.7763336300849915, 0.636248767375946, 0.6529961824417114, 0.658210813999176, 0.663332998752594, 0.7199439406394958, 0.6168211102485657, 0.7660393118858337, 0.6462371945381165, 0.6438472270965576]"
Hole in trashbag,"[0.6667569279670715, 0.6338708996772766, 0.667561948299408, 0.6582918763160706, 0.7261930704116821, 0.6868350505828857, 0.6858291029930115, 0.7431899309158325, 0.7046302556991577, 0.8336763978004456, 0.639891505241394]"
Garbage ,"[0.6262495517730713, 0.6112646460533142, 0.6274117827415466, 0.6392697691917419, 0.6820206642150879, 0.6863855123519897, 0.6236535310745239, 0.7759702205657959, 0.6428520083427429, 0.7572179436683655, 0.6264640688896179]"
Uncomfortable equipment,"[0.7112497091293335, 0.7195277214050293, 0.7070313692092896, 0.7962179183959961, 0.7010414600372314, 0.687150776386261, 0.7441374659538269, 0.643648087978363, 0.703512966632843, 0.6693118214607239, 0.6294909119606018]"
Bumping stop button,"[0.6795486211776733, 0.6402155756950378, 0.6149088144302368, 0.6506030559539795, 0.6626238226890564, 0.6567712426185608, 0.8206853270530701, 0.613023042678833, 0.6526210904121399, 0.6514758467674255, 0.6203518509864807]"
Incorrect size power drill,"[0.7054908871650696, 0.7940681576728821, 0.6573969125747681, 0.6662279367446899, 0.6253739595413208, 0.6483940482139587, 0.6914986371994019, 0.6299916505813599, 0.7639673352241516, 0.6211725473403931, 0.6094507575035095]"
Miter saw table too high,"[0.6788288950920105, 0.6361998319625854, 0.6237411499023438, 0.8749292492866516, 0.6523874998092651, 0.6936618089675903, 0.6911086440086365, 0.6587209701538086, 0.6276080012321472, 0.5967061519622803, 0.6073299646377563]"
Incorrect size gloves,"[0.6652553081512451, 0.7212461829185486, 0.7766596078872681, 0.6746871471405029, 0.6426777839660645, 0.6357746124267578, 0.6524160504341125, 0.6623327732086182, 0.6577243804931641, 0.6649150848388672, 0.6252037882804871]"
Uncleaned machines from previous users,"[0.6925987601280212, 0.6297855377197266, 0.6559221744537354, 0.6335261464118958, 0.7350252866744995, 0.7393008470535278, 0.7023715972900391, 0.6675204634666443, 0.6618537902832031, 0.7148988246917725, 0.6410356163978577]"
Machine incorrectly set up by previous user,"[0.7327202558517456, 0.6567696928977966, 0.674843430519104, 0.6943498253822327, 0.741433322429657, 0.7424347400665283, 0.7395686507225037, 0.6401602029800415, 0.700130820274353, 0.7349971532821655, 0.6772632598876953]"
Unusable wood scarps were discarded in wrong place,"[0.6756898164749146, 0.6543937921524048, 0.6885673999786377, 0.7122888565063477, 0.7716492414474487, 0.7488937377929688, 0.6808714866638184, 0.8264780044555664, 0.6699060797691345, 0.745632529258728, 0.6608538031578064]"
Trash bag was torn,"[0.6765574216842651, 0.6225355863571167, 0.6921992301940918, 0.6501781344413757, 0.7364692687988281, 0.7098580002784729, 0.6841416954994202, 0.7609308958053589, 0.6435863375663757, 0.9031867384910583, 0.6415917873382568]"
